校下・地区,センター,可燃,不燃,資源,びん・かん
市街地,東部管理センター,月 木,水4,火1 火3 火5,水2
八条,東部管理センター,月 木,水2,火1 火3 火5,水4
中筋,東部管理センター,火 金,月3,月2 月4 月5,水1
市街地,東部管理センター,火 金,木4,木1 木3 木5,水2
神美,東部管理センター,火 金,月3,月2 月4 月5,水1
市街地,西部管理センター,月 木,金3,金2 金4 金5,水1
奈佐,西部管理センター,月 木,金2,金1 金3 金5,水4
立野（円山川右岸）,東部管理センター,火 金,月3,月2 月4 月5,水1
三江,西部管理センター,火 金,木4,木1 木3 木5,水2
田鶴野,東部管理センター,火 金,水2,月1 月3 月5,水4
新田,東部管理センター,月 木,金4,金1 金3 金5,水2
五荘,西部管理センター,月 木,火2,火1 火3 火5,水4
新田,東部管理センター,火 金,月4,月1 月3 月5,水2
港,西部管理センター,火 金,月2,月1 月3 月5,水4
湯島,東部管理センター,月 木,水1,火2 火4 火5,水3
内川,西部管理センター,火 金,水2,月2 月4 月5,水1
竹野,西部管理センター,火 金,水2,月2 月4 月5,水1
中,東部管理センター,月 木,水3,金2 金4 金5,水1
竹野,東部管理センター,火 金,月2,月1 月3 月5,水4
南,東部管理センター,火 金,水3,木2 木4 木5,水1
国府,東部管理センター,月 木,金1,金2 金4 金5,水3
日高,西部管理センター,火 金,水1,木1 木3 木5,水4
清滝,西部管理センター,火 金,水1,木2 木4 木5,水3
西気,東部管理センター,月 木,水4,火1 火3 火5,水2
国府,西部管理センター,火 金,月3,月2 月4 月5,水1
八代,西部管理センター,月 木,火3,金1 金3 金5,水4
日高,西部管理センター,火 金,木3,木2 木4 木5,水1
三方,西部管理センター,火 金,月1,月2 月4 月5,水3
日高,西部管理センター,火 金,木2,木1 木3 木5,水4
三方,東部管理センター,火 金,水1,月2 月4 月5,水3
弘道,東部管理センター,月 木,金3,金2 金4 金5,水1
小坂,東部管理センター,火 金,月3,月2 月4 月5,水1
菅谷,西部管理センター,月 木,金4,火1 火3 火5,水2
福住,東部管理センター,火 金,水2,木1 木3 木5,水4
小坂,東部管理センター,火 金,月3,月2 月4 月5,水1
小野,西部管理センター,火 金,水2,月2 月4 月5,水1
寺坂,東部管理センター,火 金,木3,木2 木4 木5,水1
資母,西部管理センター,月 木,火4,火1 火3 火5,水2
合橋,西部管理センター,月 木,水4,金1 金3 金5,水2
高橋,東部管理センター,月 木,水4,火1 火3 火5,水2
